Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Transit > Train Stations > Train,Moove Media SG,ds6119,21208984,NEL_Chinatown _ Platform_3 (NEL-CNT-P3),1.284806,103.84401,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6119,Chinatown,Central Region,15,All / Universal,1,1,59418,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6088,21208985,NEL_Clarke Quay _ Concourse_1 (NEL-CQY-C1),1.288239,103.846871,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6088,Boat Quay,Central Region,15,All / Universal,1,1,59400,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6029,21208986,NEL_Clarke Quay _ Concourse_2 (NEL-CQY-C2),1.288239,103.846871,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6029,Boat Quay,Central Region,15,All / Universal,1,1,59400,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6022,21208987,NEL_Dhoby Ghaut _ Concourse_1 (NEL-DBG-C1),1.299526,103.845639,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6022,Dhoby Ghaut,Central Region,15,All / Universal,1,1,238889,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6051,21208988,NEL_Dhoby Ghaut _ Concourse_2 (NEL-DBG-C2),1.299856,103.845639,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6051,Dhoby Ghaut,Central Region,15,All / Universal,1,1,238891,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6117,21208989,NEL_Dhoby Ghaut _ Concourse_3 (NEL-DBG-C3),1.299856,103.845639,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6117,Dhoby Ghaut,Central Region,15,All / Universal,1,1,238891,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6025,21208990,NEL_Dhoby Ghaut _ Concourse_4 (NEL-DBG-C4),1.299856,103.845639,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6025,Dhoby Ghaut,Central Region,15,All / Universal,1,1,238891,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6079,21208991,NEL_Farrer Park _ Concourse_1 (NEL-FRP-C1),1.312403,103.854175,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6079,Farrer Park,Central Region,15,All / Universal,1,1,218703,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6049,21208992,NEL_Farrer Park _ Concourse_2 (NEL-FRP-C2),1.312403,103.854175,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6049,Farrer Park,Central Region,15,All / Universal,1,1,218703,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6052,21208993,NEL_Harbourfront _ Concourse_1 (NEL-HBF-C1),1.265527,103.821435,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6052,Maritime Square,Central Region,15,All / Universal,1,1,98867,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6059,21208994,NEL_Harbourfront _ Concourse_2 (NEL-HBF-C2),1.265527,103.821435,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6059,Maritime Square,Central Region,15,All / Universal,1,1,98867,SG Breakdown B1
