Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_3011,21325589,SA_BST_B_PF_3011_Fullerton Rd_Fullerton Sq,1.28566,103.85336,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3011_B,SA_BST_3011_B,Clifford Pier,10,All / Universal,Yes,No,49213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_3011,21325590,SA_BST_C_TF_3011_Fullerton Rd_Fullerton Sq,1.28566,103.85336,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3011_C,SA_BST_3011_C,Clifford Pier,10,All / Universal,Yes,No,49213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_D_PF_3011,21325591,SA_BST_D_PF_3011_Fullerton Rd_Fullerton Sq,1.28566,103.85336,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3011_D,SA_BST_3011_D,Clifford Pier,10,All / Universal,Yes,No,49213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3223,21325592,SA_BST_A_TF_3223_Anson Rd_Tanjong Pagar Stn Exit C,1.27581,103.84637,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3223_A,SA_BST_3223_A,Tanjong Pagar,10,All / Universal,Yes,No,79903,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_3223,21325593,SA_BST_B_PF_3223_Anson Rd_Tanjong Pagar Stn Exit C,1.27581,103.84637,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3223_B,SA_BST_3223_B,Tanjong Pagar,10,All / Universal,Yes,No,79903,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_54371,21325601,"SA_BST_A_TF_54371_Ang Mo Kio Ave 10_Blk 409 Mkt/Fc, Ang Mo Kio Ave 10",1.36238,103.85568,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_54371_A,SA_BST_54371_A,Chong Boon,10,All / Universal,Yes,No,560409,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_59389,21325602,"SA_BST_A_TF_59389_Yishun Ring Rd_Opp Blk 314, Yishun Ring Rd",1.43202,103.84206,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_59389_A,SA_BST_59389_A,Yishun East,10,All / Universal,Yes,No,760314,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_59161,21325603,"SA_BST_A_TF_59161_Yishun Central_Opp Blk 201, Yishun Central",1.43014,103.83792,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_59161_A,SA_BST_59161_A,Yishun Central,10,All / Universal,Yes,No,768830,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_81111,21325604,SA_BST_A_TF_81111_Paya Lebar Rd_Paya Lebar Stn Exit B,1.31848,103.89213,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_81111_A,SA_BST_81111_A,Geylang East,10,All / Universal,Yes,No,409051,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_81111,21325605,SA_BST_B_PF_81111_Paya Lebar Rd_Paya Lebar Stn Exit B,1.31848,103.89213,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_81111_B,SA_BST_81111_B,Geylang East,10,All / Universal,Yes,No,409051,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_59119,21325606,"SA_BST_A_TF_59119_Yishun Ave 5_Opp Blk 701a, Yishun Ave 5",1.43037,103.82795,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_59119_A,SA_BST_59119_A,Yishun West,10,All / Universal,Yes,No,760101,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C-Parallel_TF_4149,21325608,SA_BST_C-Parallel_TF_4149_Hill St_Grand Pk City Hall,1.29276,103.84983,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4149_C-Parallel,SA_BST_4149_C-Parallel,City Hall,10,All / Universal,Yes,No,179809,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_84231,21325613,"SA_BST_A_TF_84231_Bedok North Rd_Blk 85, Bedok North Rd",1.33173,103.93855,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_84231_A,SA_BST_84231_A,Bedok North,10,All / Universal,Yes,No,460085,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_46321,21325614,SA_BST_A_TF_46321_Woodlands Ave 5_W'Lands Civic Ctr,1.43457,103.78656,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_46321_A,SA_BST_46321_A,Woodlands Regional Centre,10,All / Universal,Yes,No,730900,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_4249,21325615,SA_BST_A_TF_4249_North Bridge Rd_Opp The Treasury,1.29053,103.85036,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4249_A,SA_BST_4249_A,City Hall,10,All / Universal,Yes,No,178879,Singapore
